NATIONAL UNIVERSITY OF ENGINEERING
FACULTY OF CIVIL ENGINEERING
JAPAN-PERU CENTER FOR EARTHQUAKE ENGINEERING RESEARCH AND DISASTER MITIGATION (CISMID)
TUPAC AMARU AVENUE 1150 - LIMA 25 - PERU Postal Code 31-250 Lima 31
Telephone Numbers (51-1) 482-0777, 482-0790 FAX 481-0170
e-mail: f_lazares@uni.edu.pe	http://www.cismid-uni.org

1. INFORMATION ABOUT THE SEISMIC STATION
STATION NAME               :  Parque de la Reserva                                                                                
STATION CODE               :  PRQ       
STATION LOCATION           :  Parque de la Reserva, Cercado de Lima, Lima                                                         
LATITUDE                   :  -12.07 
LONGITUDE                  :  -77.04 
ALTITUDE (m)               :  130                 
ACCELEROMETER MODEL        :  Acelerógrafo Analógico                                                                              
SAMPLING FREQUENCY (Hz)    :   50

2. INFORMATION ABOUT THE EARTHQUAKE
DATE                       :  October 03, 1974                                                                                    
ORIGIN TIME (Local)        :  09:21:00                                                                                            
LATITUDE                   :  -12.50                                                                                              
LONGITUDE                  :  -77.98                                                                                              
DEPTH (km)                 :  13.00                                                                                               
MAGNITUDE                  :  6.6 mb                                                                                              
INFORMATION SOURCE         :  IGP                                                                                                 

3. INFORMATION ABOUT THE RECORD
RECORD TIME (Local)        :  09:21:00
NUMBER OF SAMPLES          :      4899
MAXIMUM ACCELERATION       :   -194.21    180.09    100.30
DATA UNITS                 :  cm/s2   

4. COMMENTS
BASELINE CORRECTED

5. ACCELERATION DATA
               T              EW              NS              UD
          4.9000        -19.4413        -12.9041         34.2942
          4.9200        -29.2203          9.1879         42.5882
          4.9400        -31.6663         12.3829         10.3612
          4.9600        -27.3433         -4.8381          2.5482
          4.9800         -4.1773         -5.4511         -9.3508
          5.0000         28.1227         13.2359        -30.6758
          5.0200         20.4797         -0.6201        -18.2308
          5.0400         -5.3773        -35.7221         17.7962
          5.0600        -26.6943        -12.1871         34.8882
          5.0800        -28.0163         47.4729         36.4752
          5.1000          4.7457         38.1759         29.0782
          5.1200         24.2457        -20.9501         -6.5878
          5.1400         13.0637        -39.1891        -28.6168
          5.1600         17.2537        -22.2271        -10.4568
          5.1800          4.6857         -0.8761          5.4352
          5.2000        -29.2523         -3.2581         19.4242
          5.2200        -30.7753        -25.0621         32.1282
          5.2400        -23.4333        -22.5291         25.3962
          5.2600        -14.4383         -0.3731         12.5462
          5.2800         11.9147         23.7279         -9.1148
          5.3000         10.2317         41.8129        -47.9588
          5.3200        -20.3243         21.4099        -55.9388
          5.3400        -26.1063         -1.7091         -1.7378
          5.3600        -20.7713          2.2839         15.3642
          5.3800        -21.1313          2.6759        -13.8058
          5.4000         14.8057        -11.6901          5.8112
          5.4200         14.3617        -12.4211         20.2542
          5.4400        -43.9563          9.0559         -3.3368
          5.4600        -62.9513         17.8939         -8.2678
          5.4800        -46.1433          9.6999         -4.6998
          5.5000          5.1527         19.2059         -6.0608
          5.5200         44.6407         22.6999        -12.6388
          5.5400         12.6067         -7.3611         -9.7588
          5.5600        -27.6583        -29.6011          5.8662
          5.5800        -13.9763        -10.2441         15.3772
          5.6000         -2.7273         18.2969         29.3072
          5.6200        -26.3763         12.1789         12.6092
          5.6400        -31.7133         -2.8231         -4.8778
          5.6600         -2.1923        -11.8551          7.0292
          5.6800         25.9967        -11.0001        -19.3008
          5.7000         33.7117          7.6919        -32.7358
          5.7200         19.7717         20.9029         -9.7248
          5.7400         13.1857          2.5209          5.2222
          5.7600         18.0487        -37.3871         16.9402
          5.7800         12.0297        -42.7681          6.3112
          5.8000          9.7307          2.9309          6.0142
          5.8200         22.8667         28.6579         31.4482
          5.8400          5.0017         10.6479         33.9532
          5.8600        -25.5773          1.8099          9.0352
          5.8800        -16.1713          8.7379        -16.4778
          5.9000         -4.4143          5.5689        -14.2598
          5.9200          8.9547         -9.1091        -13.2298
          5.9400        -22.2233         -3.4601        -26.6588
          5.9600        -66.1783         19.4829          1.2562
          5.9800        -58.0173         15.6899         19.7052
          6.0000        -20.7123          6.3209         -3.7118
          6.0200         17.2657         10.1329        -13.5458
          6.0400         22.5047         17.4569        -19.0468
          6.0600          3.8437          7.5049        -23.0098
          6.0800        -15.8783        -15.8351        -26.2268
          6.1000         -5.8203         -7.3611         -1.8938
          6.1200        -11.8723         23.2999         23.1902
          6.1400        -41.1333         42.3919         12.3812
          6.1600        -46.9603         19.7029         19.3282
          6.1800        -26.8533          4.5929         29.6052
          6.2000          5.8357         22.2119         10.8802
          6.2200         26.4397         22.7699        -17.6658
          6.2400         28.1867          0.8949        -34.3858
          6.2600         16.6207        -28.0671         -9.7668
          6.2800         28.1227        -33.2551         19.5502
          6.3000         44.8407        -14.5431          4.7552
          6.3200         11.2687        -19.5741          6.4172
          6.3400         -6.9193        -33.0591         17.3852
          6.3600         18.1967        -18.6371        -19.8978
          6.3800         21.9957        -27.5721        -24.9098
          6.4000          8.4537        -43.6951         14.1642
          6.4200         13.2597        -21.7041          5.8792
          6.4400          5.4237         11.5319         -1.8518
          6.4600        -27.9603         29.5439          3.3502
          6.4800        -32.6653         36.6999        -13.0268
          6.5000         -2.8753         53.4419        -34.0588
          6.5200        -19.1403         58.2209        -17.7678
          6.5400        -44.6123         25.4969         21.6172
          6.5600        -32.5063        -28.9691         35.6582
          6.5800         13.8007        -40.5561         41.0112
          6.6000         20.0227         -7.5981         20.7972
          6.6200          0.8627         25.2069         -5.9558
          6.6400         25.9477         35.7209         -6.7118
          6.6600         43.1907         22.2069        -21.5928
          6.6800         23.7427          0.2039        -27.3828
          6.7000          1.0377        -25.2151         -8.3898
          6.7200          6.3307        -25.7861         11.0312
          6.7400         24.5957          1.5399         15.3212
          6.7600         26.4587         32.3789         19.7242
          6.7800          7.4597         20.9649         34.4632
          6.8000          2.3267        -13.1201         23.5442
          6.8200          5.9617        -12.0931         -6.6898
          6.8400         -1.7343         -0.0301        -24.8798
          6.8600         -7.7323          3.1669        -31.4508
          6.8800        -13.7303          4.0509         20.7122
          6.9000         -8.6983        -10.9461         55.3472
          6.9200         19.5367         -8.4131          9.6432
          6.9400         -6.7763         18.5419        -28.6408
          6.9600        -35.1523         30.2889        -44.3388
          6.9800         -3.9043         16.9379        -43.0978
          7.0000         24.6597         -1.5801        -23.4228
          7.0200        -29.1443        -10.2081        -10.6388
          7.0400        -86.2173         -7.0501         15.6222
          7.0600        -78.5993         -2.4311         46.5062
          7.0800        -39.9173          6.4369         35.0632
          7.1000         -7.7573         24.5799         13.3952
          7.1200         10.6937         25.5629        -14.4388
          7.1400         31.9627         -2.8241        -21.5318
          7.1600         44.3097        -35.9321         -1.3278
          7.1800         71.1397        -37.1141         10.2682
          7.2000         89.8907        -25.7291         -4.4728
          7.2200         43.4357        -46.2631        -30.4218
          7.2400         -8.3223        -55.2601        -48.3738
          7.2600          0.7167        -46.8631         -2.0778
          7.2800          0.3477        -45.8391         46.9062
          7.3000        -27.9763        -26.8181         21.6812
          7.3200        -45.6453         23.2299          2.3732
          7.3400        -52.3443         68.6299         14.7632
          7.3600        -38.2403         65.3539         -6.2898
          7.3800          9.0597         24.2409        -23.2948
          7.4000         15.9407         -3.6591          4.9542
          7.4200         -2.6493         -1.5341         24.7582
          7.4400         13.7987         -4.1551         12.8312
          7.4600         16.1407        -23.2991        -21.7168
          7.4800        -22.9293        -31.5381        -28.4678
          7.5000        -34.1393         -9.7871         -3.8998
          7.5200          1.6387         27.2409         11.7042
          7.5400         28.9477         34.7269         20.0172
          7.5600         19.8557         12.2059         17.1122
          7.5800         30.0077         20.3079         -4.4938
          7.6000         39.9107         41.9449         -8.6638
          7.6200         -9.6213         22.0719          6.6472
          7.6400        -33.7223        -16.5981          9.8682
          7.6600        -13.1283        -22.6301          5.8292
          7.6800         -0.9683        -12.1111         22.5812
          7.7000        -13.6793         -7.4091         42.9942
          7.7200         10.5707          2.6339         22.9172
          7.7400         28.8187        -23.6361        -30.5248
          7.7600        -19.3973        -50.4641        -43.8538
          7.7800        -43.2483        -32.7701        -25.7498
          7.8000        -26.6493         -6.7851        -35.2218
          7.8200          4.6797         18.3619        -25.5428
          7.8400         39.4827         19.4789         25.0512
          7.8600         16.6337          8.0649         36.4142
          7.8800        -20.9633          3.0019         14.3672
          7.9000        -10.5143        -20.0111        -16.6738
          7.9200         14.5537        -41.0991        -39.8558
          7.9400         33.5457        -36.2261        -16.1498
          7.9600         44.4377        -22.1221          0.3082
          7.9800         26.5837         -3.4711         -0.6598
          8.0000        -22.3883         41.8609         -3.5778
          8.0200        -34.8023         63.7199          5.1102
          8.0400          0.3627         38.6959         19.0632
          8.0600         22.4737         21.7679          0.5972
          8.0800         -0.8143         21.1679        -33.9488
          8.1000        -12.1003          6.9909        -28.2618
          8.1200         -3.7393        -17.6711          6.9352
          8.1400          6.3637        -19.4301         33.8372
          8.1600         33.8607        -15.9151         42.4422
          8.1800         24.3467        -29.7451         29.9692
          8.2000         -6.8803        -31.8711          8.1302
          8.2200        -23.0793        -25.4751        -11.0778
          8.2400        -31.4933        -22.3841        -16.9028
          8.2600        -29.0883         -7.2341         -8.3638
          8.2800        -24.9283         14.7569          0.2552
          8.3000        -29.8143         14.9559         -0.9098
          8.3200        -36.4293          0.0319          3.5792
          8.3400        -10.8283         -2.3801         22.0512
          8.3600         26.3677         16.2779         32.4782
          8.3800         30.3937         14.0469         11.6172
          8.4000         16.6267        -15.4391        -20.7708
          8.4200         24.2517        -14.3691        -26.3398
          8.4400         47.9687         12.0239        -15.1688
          8.4600         23.2317         26.0939         -2.8628
          8.4800        -39.6663         25.0739          1.5022
          8.5000        -57.1673          9.3779         -8.2428
          8.5200        -29.1153          2.1949        -21.4538
          8.5400          1.5747          9.9469         -9.0118
          8.5600         11.5987         14.5629         11.2232
          8.5800          4.3277         -3.0751         10.4072
          8.6000        -12.4413        -20.5291          3.7472
          8.6200        -26.7313          4.8709         -1.6768
          8.6400        -19.5433         28.3449         14.2372
          8.6600         -4.7123         -2.0141          9.6952
          8.6800         15.2347        -26.2931        -25.7208
          8.7000         24.2437        -21.3011        -32.2578
          8.7200         11.3047        -18.5481        -23.1158
          8.7400         18.1967        -13.9521          2.3992
          8.7600         25.1957         -5.2411         23.2862
          8.7800         -1.8403          5.8689          7.1232
          8.8000        -21.0463          8.4099         -0.3048
          8.8200         -0.2793          1.6179         -2.2208
          8.8400         31.0107          8.5399        -13.0628
          8.8600         26.8727         25.4689        -11.8568
          8.8800         -1.0233         24.6259        -23.0088
          8.9000        -18.0733          8.6089        -17.0318
          8.9200        -15.1573         -4.3341         14.4112
          8.9400         -6.6203          2.5139          9.4462
          8.9600        -22.7843         17.3509          3.3402
          8.9800        -23.6123         24.7179         -3.1768
          9.0000        -15.1973         16.3459        -19.1028
          9.0200        -29.0573          2.9499          3.2952
          9.0400        -24.0913          5.5599         27.5722
          9.0600         17.4137          8.7179         33.1972
          9.0800         38.0957          8.7189         32.4972
          9.1000         27.6147          5.2419         18.3772
          9.1200         19.5217         -9.9471         10.8482
          9.1400         11.6567         -6.2391         -3.0078
          9.1600          0.7467         16.4289        -17.6518
          9.1800         -5.6163         16.4529        -13.4698
          9.2000          0.2617         16.3369         -0.7808
          9.2200         14.0287         16.2679          1.3982
          9.2400         11.1407         -2.8471          3.1602
          9.2600        -18.5283          3.2929         -3.5098
          9.2800        -33.2523         28.0109        -18.5178
          9.3000        -25.2803         34.1319         -5.6668
          9.3200        -15.2363         32.5709         -5.3758
          9.3400         15.1007         15.7099        -28.2718
          9.3600         29.1057          3.5449          2.1222
          9.3800         20.5127          5.7679         31.9912
          9.4000         21.6557         11.8129         17.5012
          9.4200         30.1047          0.1169         13.0562
          9.4400         12.2057        -38.2531          6.5432
          9.4600        -45.0113        -29.5011         -9.6528
          9.4800        -45.5443         24.5399        -15.6458
          9.5000         -6.2433         56.8409        -19.3098
          9.5200         34.8957         33.2309         -6.0778
          9.5400         43.8217         -5.6601         21.9972
          9.5600         -5.3333        -16.5971         28.0422
          9.5800        -32.1023        -55.2681         28.0582
          9.6000        -15.1423        -88.8041         21.6502
          9.6200         33.6787        -59.6721        -15.2088
          9.6400         94.4797         -6.5811        -38.5878
          9.6600         66.3207         18.1099        -35.6678
          9.6800        -86.7353         21.9629        -52.4538
          9.7000       -177.0753         40.6869        -49.1008
          9.7200       -159.7633         72.4039         16.1642
          9.7400        -90.0863         60.9879         45.7732
          9.7600        -19.0443        -11.8601         23.3912
          9.7800        -48.6143        -54.9021        -15.2058
          9.8000        -98.9663        -24.9411        -52.0748
          9.8200        -93.6103         23.8949        -43.5668
          9.8400        -41.9473         13.0539        -39.1578
          9.8600         28.5917        -46.1271        -32.7368
          9.8800         25.0097        -59.6271         23.3492
          9.9000        -31.9833        -22.0811         55.1522
          9.9200        -42.0283         27.2019         43.0822
          9.9400          0.0527         73.5909         41.2462
          9.9600         35.4007         59.6209         15.8252
          9.9800         38.2467         25.2619        -30.2068
         10.0000         38.5237         23.6119        -46.2568
         10.0200         64.4857         13.1569        -21.5308
         10.0400         72.0367        -15.1871          5.6192
         10.0600         48.6707        -48.8721         -4.7358
         10.0800         -0.3373        -54.8631        -21.8408
         10.1000        -43.8203        -26.6391          6.9482
         10.1200        -73.2603        -21.9011         24.0072
         10.1400        -93.6203        -12.9911        -16.0708
         10.1600        -83.0883         23.6729        -16.9308
         10.1800          8.6547         60.9459         16.6502
         10.2000         96.3117         58.7149         19.6902
         10.2200         80.3757          7.6649         28.7122
         10.2400         72.2907        -29.7761         21.8322
         10.2600         87.6717        -51.5181        -15.3528
         10.2800         80.4147        -38.9181        -57.5608
         10.3000         54.7907          3.8589        -64.6178
         10.3200        -11.9353         20.5099          6.2972
         10.3400        -72.4233         28.4049         59.3772
         10.3600       -102.0563         65.3839         43.6732
         10.3800        -74.3063         96.9249         17.3012
         10.4000         -5.7743         80.5499        -10.5978
         10.4200          1.1757         41.1899         10.7222
         10.4400        -29.3403          1.4759         57.7352
         10.4600         -6.9683        -25.1851         55.9392
         10.4800         39.8487        -25.4611         -0.8318
         10.5000         45.2577        -17.3951        -40.8518
         10.5200         49.4887        -21.7941         -5.3508
         10.5400         80.4787        -25.5541          1.4282
         10.5600         94.5037        -12.2211        -50.2228
         10.5800         55.3097          5.0059        -62.6728
         10.6000        -24.7803         -4.0731         -4.5708
         10.6200        -75.3123        -28.8811         58.7232
         10.6400        -87.1013        -29.7611         66.3392
         10.6600        -80.2293         -7.8351         42.2092
         10.6800        -33.5013         25.3639         11.4672
         10.7000         11.6617         54.4989        -17.3958
         10.7200        -12.0423         63.8349        -26.2578
         10.7400        -41.9513         40.5119        -29.8168
         10.7600        -22.5183         -1.0281        -34.5168
         10.7800         30.9787         -6.1151        -18.8028
         10.8000         54.4857         22.1449        -11.6698
         10.8200          6.4157         52.0679        -19.8748
         10.8400        -60.2683         25.2009        -33.1128
         10.8600        -64.0103        -40.8111        -76.5328
         10.8800        -17.9593        -33.6141        -74.1738
         10.9000        -17.4873          4.2549         15.5462
         10.9200        -39.3273         27.9589         52.2622
         10.9400        -27.6573         63.5019         44.6002
         10.9600         -6.7253         80.0769         44.4082
         10.9800        -23.6603         58.6989         43.6092
         11.0000        -49.4003         13.7529         27.4092
         11.0200        -42.0513        -16.8691         -8.8918
         11.0400        -15.1003        -15.6311         -4.0348
         11.0600         12.1117         -4.7581         26.9762
